Subject,Content,Label
Limited time offer!,Click here to claim your prize before it expires!,spam
Project update,Looking forward to seeing you at the family gathering this weekend.,ham
You've won a lottery!,You've been selected for an exclusive offer. Act now!,spam
Project update,Just a reminder about your appointment tomorrow at 10 AM.,ham
You've won a lottery!,Earn $5000 per week from home. Sign up today!,spam
Family reunion details,Looking forward to seeing you at the family gathering this weekend.,ham
Win a free iPhone now!,Earn $5000 per week from home. Sign up today!,spam
Meeting rescheduled,Please find attached the latest project report.,ham
Win a free iPhone now!,You've been selected for an exclusive offer. Act now!,spam
Meeting rescheduled,Just a reminder about your appointment tomorrow at 10 AM.,ham
Limited time offer!,Your account has been compromised. Reset your password now!,spam
Project update,Looking forward to seeing you at the family gathering this weekend.,ham
You've won a lottery!,Your account has been compromised. Reset your password now!,spam
Family reunion details,Please find attached the latest project report.,ham
Congratulations! Claim your prize,Earn $5000 per week from home. Sign up today!,spam
Family reunion details,Please find attached the latest project report.,ham
Win a free iPhone now!,You've been selected for an exclusive offer. Act now!,spam
Family reunion details,Just a reminder about your appointment tomorrow at 10 AM.,ham
Get rich quick with this simple trick,Your account has been compromised. Reset your password now!,spam
Invitation to conference,Just a reminder about your appointment tomorrow at 10 AM.,ham
Congratulations! Claim your prize,Your account has been compromised. Reset your password now!,spam
Family reunion details,Just a reminder about your appointment tomorrow at 10 AM.,ham
Get rich quick with this simple trick,Earn $5000 per week from home. Sign up today!,spam
Project update,The team meeting has been moved to 3 PM on Monday.,ham
Get rich quick with this simple trick,Hurry! This deal ends in 24 hours. Click the link to buy now!,spam
Family reunion details,Just a reminder about your appointment tomorrow at 10 AM.,ham
Get rich quick with this simple trick,Your account has been compromised. Reset your password now!,spam
Invitation to conference,Looking forward to seeing you at the family gathering this weekend.,ham
Get rich quick with this simple trick,Click here to claim your prize before it expires!,spam
Meeting rescheduled,Looking forward to seeing you at the family gathering this weekend.,ham
Win a free iPhone now!,Click here to claim your prize before it expires!,spam
Meeting rescheduled,Looking forward to seeing you at the family gathering this weekend.,ham
Win a free iPhone now!,You've been selected for an exclusive offer. Act now!,spam
Invitation to conference,Please find attached the latest project report.,ham
Win a free iPhone now!,Hurry! This deal ends in 24 hours. Click the link to buy now!,spam
Invitation to conference,Please find attached the latest project report.,ham
Congratulations! Claim your prize,Earn $5000 per week from home. Sign up today!,spam
Meeting rescheduled,The team meeting has been moved to 3 PM on Monday.,ham
You've won a lottery!,Earn $5000 per week from home. Sign up today!,spam
Meeting rescheduled,Just a reminder about your appointment tomorrow at 10 AM.,ham
Congratulations! Claim your prize,Earn $5000 per week from home. Sign up today!,spam
Meeting rescheduled,Please find attached the latest project report.,ham
Congratulations! Claim your prize,Your account has been compromised. Reset your password now!,spam
Family reunion details,Just a reminder about your appointment tomorrow at 10 AM.,ham
Get rich quick with this simple trick,Click here to claim your prize before it expires!,spam
